,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
478,Theo Walcott\Theo-Walcott,eng ENG,FW,Everton,32-014,1989,0.1,1,1,100.0,18,10,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
479,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,30-306,1990,17.6,1366,1535,89.0,27034,7233,506,549,92.2,671,722,92.9,177,232,76.3,1,0.5,+0.5,7,143,8,1,85,Matches
480,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,23-351,1997,20.8,970,1207,80.4,16282,5248,483,530,91.1,377,459,82.1,90,154,58.4,1,0.5,+0.5,11,40,11,0,62,Matches
481,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,23-124,1997,27.0,1388,1623,85.5,20855,7562,800,867,92.3,517,594,87.0,51,98,52.0,2,1.4,+0.6,19,74,18,8,98,Matches
482,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,31-152,1989,16.1,502,702,71.5,8386,4142,256,296,86.5,182,248,73.4,49,117,41.9,1,0.4,+0.6,5,40,6,2,42,Matches
483,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,26-149,1994,29.0,1654,2029,81.5,29150,7415,740,814,90.9,714,783,91.2,167,377,44.3,5,3.0,+2.0,41,116,17,0,113,Matches
484,Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,25-090,1995,28.0,454,633,71.7,6103,1075,294,381,77.2,126,173,72.8,11,24,45.8,3,2.9,+0.1,29,32,15,3,27,Matches
485,Caleb Watts\Caleb-Watts,au AUS,MFFW,Southampton,19-073,2002,0.4,8,13,61.5,161,41,4,7,57.1,3,5,60.0,1,1,100.0,0,0.0,0.0,0,0,1,1,0,Matches
486,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,26-085,1995,21.8,1088,1336,81.4,23757,8158,293,345,84.9,595,666,89.3,192,294,65.3,0,0.2,-0.2,6,107,6,1,87,Matches
487,Danny Welbeck\Danny-Welbeck,eng ENG,FW,Brighton,30-124,1990,10.1,100,128,78.1,1422,349,62,77,80.5,26,31,83.9,9,12,75.0,1,1.2,-0.2,11,6,3,1,12,Matches
488,Timo Werner\Timo-Werner,de GER,FW,Chelsea,25-024,1996,22.7,532,689,77.2,8029,1619,287,352,81.5,203,235,86.4,22,46,47.8,5,3.1,+1.9,21,26,19,5,50,Matches
489,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,30-363,1990,28.9,1202,1617,74.3,25480,8301,424,480,88.3,487,581,83.8,254,489,51.9,2,4.1,-2.1,38,135,58,11,148,Matches
490,Ben White\Ben-White,eng ENG,DFMF,Brighton,23-173,1997,27.5,1140,1370,83.2,23826,7079,375,415,90.4,569,634,89.7,186,294,63.3,0,0.5,-0.5,7,87,15,1,91,Matches
491,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,30-139,1990,26.1,1313,1412,93.0,22817,4411,623,664,93.8,537,566,94.9,125,141,88.7,0,1.4,-1.4,18,116,17,1,76,Matches
492,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,20-208,2000,0.1,6,8,75.0,115,9,3,4,75.0,1,2,50.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches
493,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,19-351,2001,2.8,156,213,73.2,2548,872,81,91,89.0,54,66,81.8,14,33,42.4,0,0.3,-0.3,3,10,1,1,17,Matches
494,Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,20-055,2001,2.3,166,182,91.2,3826,1052,37,44,84.1,85,89,95.5,44,48,91.7,0,0.2,-0.2,1,10,1,0,8,Matches
495,Willian\Willian,br BRA,FWMF,Arsenal,32-233,1988,13.3,519,659,78.8,9699,1821,241,274,88.0,206,246,83.7,68,124,54.8,5,2.0,+3.0,21,26,24,7,42,Matches
496,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,21-222,1999,2.6,69,91,75.8,1078,279,35,42,83.3,28,34,82.4,3,9,33.3,0,0.0,0.0,2,9,4,1,6,Matches
497,Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,21-222,1999,6.5,103,135,76.3,1758,722,50,59,84.7,39,50,78.0,10,19,52.6,0,0.7,-0.7,6,12,6,2,18,Matches
498,Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,29-031,1992,20.1,225,325,69.2,3097,607,135,179,75.4,66,86,76.7,9,14,64.3,5,1.6,+3.4,13,9,13,0,19,Matches
499,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,25-056,1996,7.1,409,482,84.9,7718,2050,172,189,91.0,179,196,91.3,55,82,67.1,0,0.3,-0.3,4,54,4,0,37,Matches
500,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,29-113,1991,21.9,309,466,66.3,4214,605,185,264,70.1,93,134,69.4,11,19,57.9,0,1.0,-1.0,14,17,4,0,24,Matches
501,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,28-184,1992,22.9,1500,1678,89.4,30014,7520,553,607,91.1,698,748,93.3,234,287,81.5,2,1.3,+0.7,14,195,25,0,175,Matches
502,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,31-158,1989,4.0,110,139,79.1,1946,530,60,69,87.0,34,47,72.3,15,20,75.0,1,1.0,0.0,5,10,4,1,10,Matches
503,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,27-264,1993,4.8,111,172,64.5,1760,809,61,76,80.3,36,55,65.5,11,31,35.5,0,0.1,-0.1,3,5,6,1,13,Matches
504,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,27-021,1994,5.9,213,245,86.9,3635,1052,107,115,93.0,73,86,84.9,26,32,81.3,0,0.3,-0.3,3,18,3,0,19,Matches
505,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,28-140,1992,20.0,398,531,75.0,5809,1292,247,308,80.2,115,140,82.1,23,39,59.0,2,2.3,-0.3,16,17,24,4,42,Matches
506,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,25-134,1995,23.2,977,1150,85.0,16852,3922,440,507,86.8,442,490,90.2,73,107,68.2,3,1.9,+1.1,22,110,16,4,87,Matches
507,Andi Zeqiri\Andi-Zeqiri,ch SUI,DFFW,Brighton,21-281,1999,1.3,12,31,38.7,205,52,6,12,50.0,5,10,50.0,1,6,16.7,0,0.0,0.0,0,1,1,1,2,Matches
508,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,24-105,1996,12.0,998,1098,90.9,16346,4359,521,549,94.9,391,425,92.0,70,97,72.2,0,0.6,-0.6,9,85,10,0,68,Matches
509,Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,Chelsea,28-011,1993,9.5,409,553,74.0,7183,1965,196,231,84.8,150,180,83.3,52,114,45.6,3,2.8,+0.2,27,36,22,5,49,Matches
510,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,26-154,1994,17.0,1156,1271,91.0,25869,6462,290,309,93.9,644,679,94.8,217,271,80.1,0,0.0,0.0,1,75,2,0,50,Matches
511,Martin Ødegaard\Martin-Odegaard,no NOR,MF,Arsenal,22-103,1998,5.3,261,306,85.3,4049,1003,134,140,95.7,95,106,89.6,20,38,52.6,0,0.8,-0.8,11,18,10,0,29,Matches
